transaction_id,contract_id,client_id,transaction_date,payment_amt,payment_code
15232,836,7,1521392903,100,DEFAULT
14161,836,7,1519837702,416.67,DEFAULT
15230,836,7,1521392903,50,DEFAULT
15130,836,7,1521047307,100,PAYMENT
7939,836,7,1510852097,416.67,PAYMENT
15129,836,7,1521047307,50,PAYMENT
13584,836,7,1519146502,66.66,DEFAULT
11457,836,7,1516122499,416.67,PAYMENT
6375,836,7,1508432890,66.66,PAYMENT
13367,836,7,1518973703,66.66,PAYMENT
14978,836,7,1520960902,416.67,DEFAULT
13583,836,7,1519146502,416.67,DEFAULT
6161,836,7,1508173694,5050.04,PAYMENT
6162,836,7,1508173694,50,PAYMENT
11458,836,7,1516122499,66.66,PAYMENT
6374,836,7,1508432890,466.67,PAYMENT
4108,412,8,1505066977,833.33,PAYMENT
23977,1139,8,1531073361,1000,PAYMENT
4109,412,8,1505066977,125,PAYMENT
18887,1139,8,1525716513,1000,PAYMENT
9247,412,8,1512925697,833.33,PAYMENT
16655,1139,8,1523210909,1000,PAYMENT
9248,412,8,1512925697,125,PAYMENT
14509,1139,8,1520356101,50,PAYMENT
2335,412,8,1502215735,833.33,PAYMENT
16656,1139,8,1523210909,150,PAYMENT
2336,412,8,1502215735,125,PAYMENT
21255,1139,8,1528308550,150,PAYMENT
10906,412,8,1515431299,833.33,PAYMENT
23978,1139,8,1531073361,150,PAYMENT
10907,412,8,1515431299,125,PAYMENT
14851,1139,8,1520788106,1050,PAYMENT
5708,412,8,1507482494,833.33,PAYMENT
21254,1139,8,1528308550,1000,PAYMENT
5709,412,8,1507482494,125,PAYMENT
14852,1139,8,1520788106,150,PAYMENT
12769,412,8,1518109699,833.33,PAYMENT
18888,1139,8,1525716513,150,PAYMENT
12770,412,8,1518109699,125,PAYMENT
14508,1139,8,1520356101,12050,PAYMENT
7478,412,8,1510160893,833.33,PAYMENT
7479,412,8,1510160893,125,PAYMENT
491,412,8,1499623693,833.33,PAYMENT
492,412,8,1499623693,125,PAYMENT
18893,737,8,1525716513,1250,PAYMENT
14390,737,8,1520183308,187.5,PAYMENT
8974,737,8,1512407297,1250,PAYMENT
8975,737,8,1512407297,187.5,PAYMENT
21093,737,8,1528135749,1250,PAYMENT
10700,737,8,1515085697,1250,PAYMENT
10701,737,8,1515085697,187.5,PAYMENT
14389,737,8,1520183308,1250,PAYMENT
5544,737,8,1507136891,1250,PAYMENT
5545,737,8,1507136891,187.5,PAYMENT
18894,737,8,1525716513,187.5,PAYMENT
12471,737,8,1517764102,1250,PAYMENT
12472,737,8,1517764102,187.5,PAYMENT
21094,737,8,1528135749,187.5,PAYMENT
16424,737,8,1522865307,1250,PAYMENT
16425,737,8,1522865307,187.5,PAYMENT
23692,737,8,1530727726,1250,PAYMENT
23693,737,8,1530727726,187.5,PAYMENT
7267,737,8,1509901695,1250,PAYMENT
7268,737,8,1509901695,187.5,PAYMENT
3793,737,8,1504548569,15050,PAYMENT
3794,737,8,1504548569,50,PAYMENT
3993,737,8,1504807774,1300,PAYMENT
3994,737,8,1504807774,187.5,PAYMENT
1117,154,8,1500401307,140,PAYMENT
1116,154,8,1500401307,1000,PAYMENT
3043,154,8,1503252552,140,PAYMENT
3042,154,8,1503252552,1000,PAYMENT
23661,1539,9,1530727726,19.5,PAYMENT
23660,1539,9,1530727726,500.01,PAYMENT
